lat,lng,year,map_name,address_1,address_2,address_3,address_4,protocols,district_id,division_id,internal_id,archive_name,district_name,election_type,internal_name,abroad_district_id,total_registered_voters,total_registered_voters_men,total_registered_voters_women,participated,participated_confidence,invalid_ballots,invalid_ballots_confidence,Party || 10 || შალვა ნათელაშვილი,Party || 2 || დავით ბაქრაძე,Party || 25 || დავით უსუფაშვილი,Party || 36 || ზურაბ ჯაფარიძე,Party || 48 || სალომე ზურაბიშვილი,Party || 5 || გრიგოლ ვაშაძე,Party || 999 || Other
42.62101259501082,42.17574119567871,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,ლეგახარეს,ლეგახარეს ბაგა-ბაღი,მუხურის მე-17 ქ.117,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_69_16.html,69,16,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#69 ჩხოროწყუ,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,537,263,274,306,3,8,3,1,16,0,2,116,150,13
41.73250385429666,44.80872094631195,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,,N79 საბავშვო ბაღი,მიტინგის ქ.N1,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_9_8.html,9,8,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#9 ნაძალადევი,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,1430,665,765,549,3,25,3,30,41,12,14,193,203,33
41.72534964062135,44.75430965423584,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,,N52-ე საჯარო სკოლა,"ალ. ყაზბეგის გამზ. N27, I სართული",,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_3_18.html,3,18,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#3 საბურთალო,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,1410,579,831,788,3,34,3,17,58,72,73,303,193,38
42.430148395037776,41.84491217136383,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,ურთის თემი,ურთის საჯარო სკოლა,სოფ.ურთა ცაიშვილის ქუჩა N74,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_67_67.html,67,67,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#67 ზუგდიდი,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,799,390,409,441,2,6,3,5,70,0,0,193,161,6
41.759247617810985,44.77693428888551,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,,#147–ე საჯარო სკოლა,დ/მ. 3 კვ.,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_8_43.html,8,43,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#8 დიდუბე,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,1335,584,751,708,2,3,3,24,52,46,49,253,204,50
42.11710741999162,45.250739587280236,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,საკობიანო,საკობიანოს საჯ.სკოლის შენობა,სოფელი საკობიანო,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_18_17.html,18,17,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#18 ახმეტა,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,1063,525,538,450,3,4,2,30,49,7,1,174,177,8
42.08582073815149,45.43943265711664,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,ფშაველი,კულტურის სახლის შენობა,სოფ.ფშაველი,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_17_32.html,17,32,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#17 თელავი,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,1496,748,748,839,2,15,3,23,74,4,4,263,433,23
,,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,პორტუგალიის რესპუბლიკა,ქ. ლისაბონი,"პორტუგალიის რესპუბლიკაში საქართველოს საელჩო - ქ. ლისაბონი, ფერნაო სუარეშის ქ. 6-ა 1400-149",,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_87_33.html,87,33,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#87 საზღვარგარეთი,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,0,0,0,22,3,0,5,2,1,1,2,8,6,2
41.79770775453588,44.766186475753784,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,,"ლიცეუმი ,,სხივი\""","დიღ. სასწ.საცდ.მეურ. ნაკვ368, I სართ",,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_3_39.html,3,39,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#3 საბურთალო,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,1193,523,670,618,3,19,3,29,45,53,35,231,148,58
41.7045211,44.8468201,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,,კომ. ცენტრი პოლუსი,ვაზისუბნის 2 მიკრო რაიონი,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_5_75.html,5,75,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#5 ისანი,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,1304,570,734,514,3,22,3,20,48,19,27,182,177,18
,,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,ნინოწმინდა,კულტურის სახლის შენობა,ტერიანის 1/ა,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_41_37.html,41,37,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#41 ნინოწმინდა,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,794,368,426,298,3,16,3,0,50,1,1,135,85,10
