lat,lng,year,map_name,address_1,address_2,address_3,address_4,protocols,district_id,division_id,internal_id,archive_name,district_name,election_type,internal_name,abroad_district_id,total_registered_voters,total_registered_voters_men,total_registered_voters_women,participated,participated_confidence,invalid_ballots,invalid_ballots_confidence,"Party || 2 || „ბაქრაძე, უგულავა, ბოკერია - ევროპული საქართველო - მოძრაობა თავისუფლებისთვის“|""Bakradze, Ugulava, Bokeria - European Georgia - Movement for Liberty""","Party || 27 || საარჩევნო ბლოკი „გიორგი ვაშაძე-სტრატეგია აღმაშენებელი”|Election Bloc - ""Giorgi Vashadze-Strategy Aghmashenebeli""","Party || 36 || „გირჩი“|""Girchi""","Party || 41 || ქართული ოცნება - დემოკრატიული საქართველო|""Georgian Dream – Democratic Georgia""","Party || 5 || საარჩევნო ბლოკი „ერთიანი ნაციონალური მოძრაობა-გაერთიანებული ოპოზიცია „ძალა ერთობაშია” |Election Bloc - United National Movement - United Opposition ""Strength is in Unity""","Party || 56 || „ლელო - მამუკა ხაზარაძე“|""Lelo - Mamuka Khazaradze""","Party || 8 || „დავით თარხან-მოურავი, ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი”|""Davit Tarkhan-Mouravi, Irma Inashvili - ""Alliance of Patriots of Georgia""",Party || 999 || Other
41.7122082,44.7995766,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,ზაქარიაძის სახ.ხელოვნების კოლეჯი,ივ. ჯავახიშვილის ქ. N 88,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/1e2a56b1-e3d1-42fa-9376-0f45f35d3c6c,6,06.07.11,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#6 მაჟორიტარული ოლქი,proportional,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1422,598,824,809,3,21,2,16,28,87,356,140,44,19,97
41.71437101801243,44.800205942991624,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,29-ე საჯარო სკოლა,ეგ. ნინოშვილის ქ.39,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/2a4dfe86-ce49-47e2-b4b1-8af3a57f38d1,6,06.07.12,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#6 მაჟორიტარული ოლქი,proportional,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1222,493,729,669,3,23,3,31,24,52,310,112,35,14,60
41.7185758,44.7955195,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,რკინიგზის დეპარტამენტი,სურამის ქ.4,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/b3da9fa4-d033-457e-8de7-30d14d38409e,6,06.07.13,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#6 მაჟორიტარული ოლქი,proportional,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1030,435,595,584,3,16,3,16,12,48,227,142,40,22,39
41.7213864,44.801174100000026,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,მე-4 საჯარო სკოლა,ცოტნე დადიანის ქ.19,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/5324fe04-73cf-478b-921c-a8241975e10a,6,06.07.14,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#6 მაჟორიტარული ოლქი,proportional,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1516,630,886,785,3,24,3,10,37,50,336,202,29,23,77
41.72449684684609,44.80915546417236,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,მე-5 საჯარო სკოლა,ნ. ხუდადოვის ქ.63,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/88d2db36-87df-4e16-bb87-e8d53f742d74,6,06.07.15,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#6 მაჟორიტარული ოლქი,proportional,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1585,683,902,897,2,21,3,18,27,71,377,201,42,42,97
41.721527666985935,44.8049709981476,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,მე-2 საჯარო სკოლა,ი.მეუნარგიას ქ.28,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/8e405341-6baf-457f-bd47-d7d264c58027,6,06.07.16,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#6 მაჟორიტარული ოლქი,proportional,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1471,659,812,817,3,31,3,33,27,53,323,185,47,23,96
41.71842344673656,44.80639252064975,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,ტანვარჯიშის სპორტული ცენტრი,გ.ზაზიაშვილის ქ. 14,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/0f2434ed-56f2-46e7-b3ef-2ee7da5e7b53,6,06.07.17,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#6 მაჟორიტარული ოლქი,proportional,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1576,664,912,812,3,27,3,20,41,48,335,199,29,22,91
41.7193309678379,44.812491366372676,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,N220 -ე საჯარო სკოლა,ცხრა ძმა ხერხეულიძის ქუჩა N58,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/bb1c9522-7280-4389-8946-4af0ce149583,6,06.07.18,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#6 მაჟორიტარული ოლქი,proportional,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1566,687,879,911,3,24,3,41,31,44,368,213,42,32,116
41.71303350958814,44.80688669705675,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,68-ე ბაგა-ბაღი,პალიასტომის ქ.N1,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/f5a99c61-a5cf-4d27-ac45-02733142fa35,6,06.07.19,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#6 მაჟორიტარული ოლქი,proportional,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1496,618,878,832,3,20,3,19,21,60,370,183,47,28,84
41.714207906688536,44.809292987613915,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,ბიბლიოთეკა,ნორიოს აღმართი N 24,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/df8cd6c9-f429-42c4-aa0e-dfd084495289,6,06.07.20,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#6 მაჟორიტარული ოლქი,proportional,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1589,682,907,710,3,21,2,8,42,36,349,135,28,19,72
