lat,lng,year,map_name,address_1,address_2,address_3,address_4,protocols,district_id,division_id,internal_id,archive_name,district_name,election_type,internal_name,abroad_district_id,total_registered_voters,total_registered_voters_men,total_registered_voters_women,participated,participated_confidence,invalid_ballots,invalid_ballots_confidence,"Party || 2 || „ბაქრაძე, უგულავა, ბოკერია - ევროპული საქართველო - მოძრაობა თავისუფლებისთვის“|""Bakradze, Ugulava, Bokeria - European Georgia - Movement for Liberty""","Party || 41 || ქართული ოცნება - დემოკრატიული საქართველო|""Georgian Dream – Democratic Georgia""","Party || 5 || საარჩევნო ბლოკი „ერთიანი ნაციონალური მოძრაობა-გაერთიანებული ოპოზიცია „ძალა ერთობაშია” |Election Bloc - United National Movement - United Opposition ""Strength is in Unity""","Party || 56 || „ლელო - მამუკა ხაზარაძე“|""Lelo - Mamuka Khazaradze""","Party || 8 || „დავით თარხან-მოურავი, ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი”|""Davit Tarkhan-Mouravi, Irma Inashvili - ""Alliance of Patriots of Georgia""",Party || 999 || Other
41.745258318330826,44.77606762831112,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,#22–ე საჯარო სკოლა,მირცხულავას ქ. #4ა,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/b4ce061e-c2f6-4364-a048-1d49bbf2ddd5,6,06.08.20,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#6 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1008,436,572,632,3,18,3,,193,,15,14,392
,,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,,,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/2bc00706-f730-4f07-be90-4db2ed719de5,4,04.05.82,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,,,,79,3,0,3,,5,0,0,,4
41.22305358826808,43.59859746239624,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,კათნატუ,საჯარო სკოლა,სოფ.კათნატუ,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/b585a338-9053-4bda-b043-66d1c9b808c8,18,18.41.20,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#18 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,219,103,116,176,3,1,3,28,101,6,,4,22
41.79108809421233,44.82408320943147,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,#79 საჯ.სკოლა,გლდანის 1მ/რ,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/9560f956-ff1b-4b23-8640-bf2d39f70d8e,8,08.10.85,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#8 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1409,602,807,666,3,42,3,,298,262,17,10,35
42.012515906328396,43.770985285427855,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,ახალსოფელი,საჯარო სკოლა,1-ლი ქუჩა N13,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/28cc2845-d35c-404e-8637-c0016fdcfdec,16,16.33.09,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#16 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,457,243,214,325,3,13,2,,129,117,24,13,29
41.9981771,43.6011595,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,ხაშურის ქალაქის,ყოფილი სამხედრო კომისარიატის შენობა,კოსტავას 9,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/c2efb885-0b02-45a0-b364-a44aeb4819b9,16,16.35.07,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#16 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1062,506,556,627,3,16,3,,274,147,118,23,37
42.0500729,42.4065754,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,წიაღუბანი,არასრული საჯარო სკოლა,სოფ. წიაღუბანი,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/bb79eb68-219f-4565-9a53-8727d31ab2c9,22,22.54.32,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#22 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,141,67,74,111,3,1,3,7,59,33,8,0,3
42.290722971429865,43.26986253261566,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,№ 9 ზდ. ნაგუთის საარჩევნო უბანი,მე-5 საჯარო სკოლა,ი. გოგებაშვილის ქ. № 12,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/f9974332-6754-4966-85b8-0243e54acbc2,20,20.56.09,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#20 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1193,539,654,451,3,16,3,28,195,60,50,81,21
41.34781946285073,44.7582343418383,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,შაუმიანი,შაუმიანისN3საჯარო სკოლა,დაბა შაუმიანი,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/0391e8f1-9380-456e-b3a1-3fc3b804ca09,13,13.22.08,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#13 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,816,385,431,352,3,3,2,4,291,4,2,4,17
41.667973895408025,44.91935756265599,2020,2020 წლის 31 ოქტომბრის საქართველოს პარლამენტის არჩევნები,,,ბ. ჭიჭინაძის ქ. N1-3,,https://archiveresults.cec.gov.ge/results/20201031/#/ka-ge/election_43/prot/c27e783c-af04-4f4c-920f-d839d673a94d,5,05.06.90,2020_parliamentary_round_1,31.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,#5 მაჟორიტარული ოლქი,majoritarian,2020 წლის საპარლამენტო არჩევნები (ტური 1),0,1294,557,737,606,2,28,3,,270,216,21,19,52
